SeqNum,led
1,1
2,1
3,1
4,2
5,2
6,2
7,3
8,3
9,3
10,4
11,4
12,4
13,5
14,5
15,5
16,6
17,6
18,6
19,7
20,7
21,7
22,8
23,8
24,8
25,9
26,9
27,9
28,10
29,10
30,10
31,11
32,11
33,11
34,12
35,12
36,12
37,13
38,13
39,13
40,14
41,14
42,14
43,15
44,15
45,15
46,16
47,16
48,16
49,17
50,17
51,17
52,18
53,18
54,18
55,19
56,19
57,19
58,20
59,20
60,20
61,21
62,21
63,21
64,22
65,22
66,22
67,23
68,23
69,23
70,24
71,24
72,24
73,25
74,25
75,25
76,26
77,26
78,26
79,27
80,27
81,27
82,28
83,28
84,28
85,29
86,29
87,29
88,30
89,30
90,30
91,31
92,31
93,31
94,32
95,32
96,32
97,33
98,33
99,33
100,34
101,34
102,34
103,35
104,35
105,35
106,36
107,36
108,36
109,37
110,37
111,37
112,38
113,38
114,38
115,39
116,39
117,39
118,40
119,40
120,40
121,41
122,41
123,41
124,42
125,42
126,42
127,43
128,43
129,43
130,44
131,44
132,44
133,45
134,45
135,45
136,46
137,46
138,46
139,47
140,47
141,47
142,48
143,48
144,48
145,49
146,49
147,49
148,50
149,50
150,50
151,51
152,51
153,51
154,52
155,52
156,52
157,53
158,53
159,53
160,54
161,54
162,54
163,55
164,55
165,55
166,56
167,56
168,56
169,57
170,57
171,57
172,58
173,58
174,58
175,59
176,59
177,59
178,60
179,60
180,60
181,61
182,61
183,61
184,62
185,62
186,62
187,63
188,63
189,63
190,64
191,64
192,64
193,65
194,65
195,65
196,66
197,66
198,66
199,67
200,67
201,67
202,68
203,68
204,68
205,69
206,69
207,69
208,70
209,70
210,70
211,71
212,71
213,71
214,72
215,72
216,72
217,73
218,73
219,73
220,74
221,74
222,74
223,75
224,75
225,75
226,76
227,76
228,76
229,77
230,77
231,77
232,78
233,78
234,78
235,79
236,79
237,79
238,80
239,80
240,80
241,81
242,81
243,81
244,82
245,82
246,82
247,83
248,83
249,83
250,84
251,84
252,84
253,85
254,85
255,85
256,86
257,86
258,86
259,87
260,87
261,87
262,88
263,88
264,88
265,89
266,89
267,89
268,90
269,90
270,90
271,90
272,90
273,90
274,90
275,90
276,90
277,90
278,90
279,90
280,90
281,90
